a;а
crash;крушение
crawl;ползать
crazy;сумасшедший
cream;кремовый цвет
create;Создайте
creation;творчество
creative;творческий
creativity;креативность
creator;создатель
creature;существо
credibility;авторитет
credible;заслуживающий доверия
credit;кредит
creep;ползать
crew;экипаж
crime;преступление
criminal;преступник
crisis;кризис
criterion;критерий
critic;критик
critical;критический
critically;критически
criticism;критика
criticize;критиковать
critique;критика
crop;урожай
cross;пересекать
crowd;толпа людей
crowded;переполненный
crown;корона
crucial;ключевой
crude;сырой
cruel;жестокий
cruise;морское путешествие
crush;раздавить
cry;плакать
crystal;кристалл
cue;реплика
cult;культ
cultivate;культивировать
cultural;культурный
culture;культура
cup;кружка
cupboard;шкаф
cure;лечить
curiosity;любопытство
curious;любопытный
curly;кудрявый
currency;валюта
current;текущий
currently;В данный момент
curriculum;учебная программа
curtain;штора
curve;кривая
curved;изогнутый
custody;под стражей
custom;обычай
customer;клиент
cut;порез
cute;милый
cutting;резка
cycle;цикл
cynical;циничный
dad;папа
daily;повседневная
dairy;молочные продукты
dam;плотина
damage;наносить ущерб
damaging;разрушительный
dance;танцевать
dancer;танцор
dancing;танцы
danger;Опасность
dangerous;опасно
dare;смею
dark;темно
darkness;тьма
data;данные
database;база данных
date;Дата
daughter;дочь
dawn;рассвет
day;день
dead;мертвый
deadline;крайний срок
deadly;смертельно опасный
deal;по рукам
dealer;дилер
dear;дорогая
death;смерть
debate;дебаты
debris;мусор
debt;долг
debut;дебют
decade;десятилетие
December;Декабрь
decent;порядочный
decide;принять решение
decision;решение
decision-making;принятие решений
decisive;решающий
deck;колода
declaration;декларация
declare;объявить
decline;упасть
decorate;украсить
decoration;украшение
decrease;уменьшение
dedicated;преданный
dedication;преданность
deed;дело
deem;считать
deep;глубокий
deeply;глубоко
default;дефолт
defeat;поражение
defect;дефект
defence;оборона
defend;защищать
defender;защитник
defensive;оборонительный
deficiency;недостаток
deficit;дефицит
define;определить
definite;определенный
definitely;определенно
definition;определение
defy;бросить вызов
degree;степень
delay;задержка
delegate;делегировать
delegation;делегация
delete;удалять
deliberate;преднамеренный
deliberately;сознательно
delicate;нежный
delicious;вкусно
delight;восторг
delighted;Обрадованный
deliver;доставить
delivery;Доставка
demand;требование
democracy;демократия
democratic;демократичный
demon;демон
demonstrate;продемонстрировать
demonstration;демонстрация
denial;отрицание
denounce;денонсировать
dense;плотный
density;плотность
dentist;Дантист
deny;отказываться от
depart;уйти
department;отдел
departure;выезд
depend;зависеть
dependence;зависимость
dependent;зависимый
depict;изображать
deploy;развернуть
deployment;развертывание
deposit;депозит
depressed;подавленный
depressing;удручающий
depression;депрессия
deprive;лишать
depth;глубина
deputy;заместитель
derive;выводить
descend;спускаться
descent;спуск
describe;описать
description;описание
desert;пустыня
deserve;заслужить
design;дизайн
designate;назначить
designer;дизайнер
desirable;желательно
desire;желание
desk;стол письменный
desktop;рабочий стол
desperate;отчаянный
desperately;отчаянно
despite;несмотря
destination;пункт назначения
destroy;уничтожить
destruction;разрушение
destructive;разрушительный
detail;деталь
detailed;подробный
detain;задерживать
detect;обнаруживать
detection;обнаружение
detective;детектив
detention;задержание
deteriorate;портиться
determination;определение
determine;определить
determined;решительный
devastate;опустошать
develop;развиваться
development;развитие
device;устройство
devil;дьявол
devise;изобретать
devote;посвятить
diagnose;диагностировать
diagnosis;диагноз
diagram;диаграмма
dialogue;диалог
diamond;алмаз
diary;дневник
dictate;диктовать
dictator;диктатор
dictionary;Словарь
die;умереть
diet;диета
differ;отличаться
difference;разница
different;другой
differentiate;различать
differently;по-другому
difficult;сложно
difficulty;трудность
dig;копать
digital;цифровой
dignity;достоинство
dilemma;дилемма
dimension;измерение
diminish;уменьшать
dinner;обед
dip;окунуться
diplomat;дипломат
diplomatic;дипломатический
direct;непосредственный
direction;направление
directly;прямо
director;директор
directory;каталог
dirt;грязь
dirty;грязный
disability;инвалидность
disabled;отключен
disadvantage;недостаток
disagree;не согласен
disagreement;несогласие
disappear;исчезнуть
disappoint;разочаровывать
disappointed;расстроен
disappointing;разочаровывающий
disappointment;разочарование
disaster;катастрофа
disastrous;катастрофический
disc;диск
discard;отбросить
discharge;разряд
discipline;дисциплина
disclose;раскрыть
disclosure;раскрытие
discount;скидка
discourage;препятствовать
discourse;дискурс
discover;обнаружить
discovery;открытие
discretion;усмотрение
discrimination;дискриминация
discuss;обсудить
discussion;обсуждение
disease;болезнь
dish;блюдо
dishonest;нечестный
disk;диск
dislike;не нравится
dismiss;уволить
dismissal;увольнение
disorder;беспорядок
displace;вытеснять
display;дисплей
disposal;утилизация
dispose;избавляться
dispute;спор
disrupt;нарушить
disruption;нарушение
dissolve;растворяться
distance;расстояние
distant;далекий
distinct;отчетливый
distinction;различие
distinctive;отличительный
distinguish;отличать
distort;искажать
distract;отвлекать
distress;горе
distribute;раздавать
distribution;распространение
district;район
disturb;беспокоить
disturbing;тревожный
dive;нырять
diverse;разнообразный
diversity;разнообразие
divert;отвлечь
divide;делить
divine;божественный
division;деление
divorce;расторжение брака
divorced;разведен
do;делать
do auxiliary;делать вспомогательные
doctor;доктор
doctrine;доктрина
document;документ
documentary;документальный
documentation;документация
dog;собака
dollar;доллар
domain;домен
domestic;внутренний
dominance;господство
dominant;доминирующий
dominate;доминировать
donate;пожертвовать
donation;пожертвование
donor;донор
door;дверь
dose;доза
dot;точка
double;двойной
doubt;сомневаться
down;вниз
download;скачать
downstairs;вниз по лестнице
downtown;центр города
downwards;вниз
dozen;дюжина
draft;проект
drag;тянуть
drain;слив
drama;драма
dramatic;драматический
dramatically;резко
draw;рисовать
drawing;рисунок
dream;мечтать
dress;платье
dressed;одетый
drift;дрейф
drink;пить
drive;привод
driver;Водитель
driving;вождение
drop;падение
drought;засуха
drown;утонуть
drug;препарат, средство, медикамент
drum;барабан
drunk;пьяный
dry;сухой
dual;двойной
dub;дублировать
due;должное
dull;скучный
dumb;тупой
dump;свалка
duo;дуэт
duration;продолжительность
during;в течение
dust;пыли
duty;долг
DVD;DVD
dynamic;динамичный
each;каждый
eager;нетерпеливый
ear;ухо
early;рано
earn;заработать
earnings;заработок
earth;Земля
earthquake;землетрясение
ease;легкость
easily;с легкостью
east;восток
eastern;восточный
easy;легко
eat;есть
echo;эхо
ecological;экологический
economic;экономический
economics;экономика
economist;экономист
economy;экономия
edge;край
edit;редактировать
edition;издание
editor;редактор
editorial;редакционная
educate;обучать
educated;образованный
education;образование
educational;образовательный
educator;педагог
effect;эффект
effective;эффективный
effectively;эффективно
effectiveness;эффективность
efficiency;эффективность
efficient;эффективный
efficiently;эффективно
effort;усилие
egg;яйцо
ego;эго
eight;восемь
eighteen;18
eighty;восемьдесят
either;или
elaborate;разрабатывать
elbow;локоть
elderly;пожилой
elect;избрать
election;выборы
electoral;избирательный
electric;электрический
electrical;электрические
electricity;электричество
electronic;электронный
electronics;электроника
elegant;элегантный
element;элемент
elementary;элементарный
elephant;слон
elevate;поднять
eleven;одиннадцать
eligible;имеющий право
eliminate;ликвидировать
elite;элита
else;еще
elsewhere;в другом месте
email;Эл. адрес
embark;садиться
embarrassed;смущенный
embarrassing;смущающий
embarrassment;смущение
embassy;посольство
embed;вставлять
embody;воплощать
embrace;обнимать
emerge;появляться
emergence;появление
emergency;крайняя необходимость
emission;выброс
emotion;эмоция
emotional;эмоциональный
emotionally;эмоционально
emphasis;акцент
emphasize;подчеркивать
empire;империя
empirical;эмпирический
employ;нанять
employee;сотрудник
employer;работодатель
employment;трудоустройство
empower;уполномочивать
empty;пустой
enable;включить
enact;принимать
encompass;охватить
encounter;встреча
encourage;поощрять
encouragement;поощрение
encouraging;обнадеживающий
end;конец
endeavour;стремиться
ending;окончание
endless;бесконечный
endorse;одобрять
endorsement;одобрение
endure;терпеть
enemy;враг
energy;энергия
enforce;принуждать
enforcement;принуждение
engage;заниматься
engaged;помолвлен
engagement;помолвка
engaging;вовлечение
engine;двигатель
engineer;инженер
engineering;инженерное дело
enhance;усилить
enjoy;наслаждаться
enjoyable;приятным
enormous;огромный
enough;довольно
enquire;спрашивать
enquiry;запрос
enrich;обогащать
enrol;записаться
ensue;последовать
ensure;обеспечить
enter;войти
enterprise;предприятие
entertain;развлекать
entertaining;развлекательный
entertainment;развлекательная программа
enthusiasm;энтузиазм
enthusiast;энтузиаст
enthusiastic;восторженный
entire;весь
entirely;полностью
entitle;давать право
entity;организация
entrance;Вход
entrepreneur;предприниматель
entry;вход
envelope;конверт
environment;среда
environmental;экологический
epidemic;эпидемия
episode;эпизод
equal;равный
equality;равенство
equally;в равной степени
equation;уравнение
equip;оборудовать
equipment;оборудование
equivalent;эквивалент
era;эра
erect;возводить
error;ошибка
erupt;извергаться
escalate;эскалация
escape;побег
especially;особенно
essay;сочинение
essence;сущность
essential;существенный
essentially;по существу
establish;установить
establishment;учреждение
estate;недвижимость
estimate;оценить
eternal;вечный
ethic;этика
ethical;этический
ethnic;этнический
euro;евро
evacuate;эвакуируюсь
evaluate;оценивать
evaluation;оценка
even;даже
evening;вечер
event;событие
eventually;в конце концов
ever;Когда-либо
every;каждый
everybody;все
everyday;каждый день
everyone;каждый
everything;все
everywhere;везде
evidence;доказательство
evident;очевидный
evil;злой
evoke;вызывать
evolution;эволюция
evolutionary;эволюционный
evolve;развиваться
exact;точный
exactly;в яблочко
exaggerate;преувеличивать
exam;экзамен
examination;осмотр
examine;исследовать
example;пример
exceed;превышать
excellence;совершенство
excellent;превосходно
except;Кроме
exception;исключение
exceptional;исключительный
excess;избыток
excessive;чрезмерный
exchange;обмен
excited;возбужденный
excitement;волнение
exciting;захватывающе
exclude;исключить
exclusion;исключение
exclusive;эксклюзивный
exclusively;исключительно
excuse;извините
execute;выполнять
execution;казнь
executive;должностное лицо
exercise;упражнение
exert;прикладывать
exhibit;выставлять
exhibition;выставка
exile;изгнание
exist;существовать
existence;существование
exit;Выход
exotic;экзотика
expand;расширять
expansion;расширение
expect;ожидать
expectation;ожидание
expected;ожидается
expedition;экспедиция
expenditure;статьи расходов
expense;расход
expensive;дорогие
experience;опыт
experienced;опытный
experiment;эксперимент
experimental;экспериментальный
expert;эксперт
expertise;экспертиза
expire;истекать
explain;объяснять
explanation;объяснение
explicit;явный
explicitly;явно
explode;взорваться
exploit;эксплуатировать
exploitation;эксплуатация
exploration;исследование
explore;проводить исследования
explosion;взрыв
explosive;взрывной
export;экспорт
expose;разоблачать
exposure;контакт
express;экспресс
expression;выражение
extend;расширять
extension;расширение
extensive;обширный
extensively;широко
extent;степень
external;внешний
extra;дополнительный
extract;извлекать
extraordinary;необычный
extreme;крайний
extremely;чрезвычайно
extremist;экстремистский
eye;глаз
fabric;ткань
fabulous;сказочный
face;лицо
facilitate;облегчить
facility;средство
fact;факт
faction;фракция
factor;фактор
factory;фабрика
faculty;факультет
fade;исчезать
fail;потерпеть неудачу
failed;не смогли
failure;неудача
fair;справедливый
fairly;честно
fairness;справедливость
faith;вера
fake;подделка
fall;падать
false;ложный
fame;слава
familiar;знакомые
family;семья
famous;известный
fan;поклонник
fancy;фантазия
fantastic;фантастический
fantasy;фантастика
far;далеко
fare;транспортные расходы
farm;ферма
farmer;фермер
farming;сельское хозяйство
fascinating;увлекательный
fashion;мода
fashionable;модный
fast;быстрый
